zone,row,col,latitude,longitude
DK2,1,1,54.9,11.5
DK2,1,2,54.9,12.733333
DK2,1,3,54.9,13.966667
DK2,1,4,54.9,15.2
DK2,2,1,55.55,11.5
DK2,2,2,55.55,12.733333
DK2,2,3,55.55,13.966667
DK2,2,4,55.55,15.2
DK2,3,1,56.2,11.5
DK2,3,2,56.2,12.733333
DK2,3,3,56.2,13.966667
DK2,3,4,56.2,15.2
DK1,1,1,54.55,7.0
DK1,1,2,54.55,8.5
DK1,1,3,54.55,10.0
DK1,1,4,54.55,11.5
DK1,2,1,56.125,7.0
DK1,2,2,56.125,8.5
DK1,2,3,56.125,10.0
DK1,2,4,56.125,11.5
DK1,3,1,57.7,7.0
DK1,3,2,57.7,8.5
DK1,3,3,57.7,10.0
DK1,3,4,57.7,11.5
